SKU,Vendor,Description,Title,Price,Type,Image_Src,Quantity
21442,Redken,"Кондиционер для объема у корней, 1000 мл",Redken High Rise Lifting Conditioner,3682,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-high-rise-lifting-conditioner---konditsioner-dlya-obema-u-kornej-1000-mlP1223400.150x150.jpg,17
21443,Redken,"Шампунь для объема у корней, 1000 мл",Redken High Rise Volume,2660,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-high-rise-volume---shampun-dlya-obema-u-kornej-1000-mlP1222900.150x150.jpg,10
21444,Redken,"Кондиционер для объема у корней, 250 мл",Redken High Rise Lifting Conditioner,1640,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-high-rise-lifting-conditioner---konditsioner-dlya-obema-u-kornej-250-mlP1223400.150x150.jpg,16
21445,Redken,"Шампунь для объема у корней, 300 мл",Redken High Rise Volume,1311,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-high-rise-volume---shampun-dlya-obema-u-kornej-300-mlP1222900.150x150.jpg,1
21446,Redken,"Шампунь очищающий, 1000 мл",Redken Hair Cleansing Cream Shampoo,2660,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-hair-cleansing-cream-shampoo---shampun-ochischayuschij-1000-mlRedken_Hair_Cleansing_Cream_Shampoo.150x150.jpg,8
21447,Redken,"Набор масляная система осветления 4*12.5 г, 60 мл",Redken Blonde Idol Blue Oil Lightening Systems,2460,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol-blue-oil-lightening-systems---nabor-maslyanaya-sistema-osvetleniya-4125-g-60-mlP1125700.150x150.jpg,2
21448,Redken,"Брейкер, Гелевый краситель, Нейтральный, 150 мл",Redken Blonde Idol Base Breaker Cool,969,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol-base-breaker-cool---brejker-gelevyj-krasitel-nejtralnyj-150-mlRedken_Blonde_Idol_Base_Breaker_Clear.150x150.jpg,16
21449,Redken,"Брейкер, Гелевый краситель, Холодный, 150 мл",Redken Blonde Idol Base Breaker Cool,969,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol-base-breaker-cool---brejker-gelevyj-krasitel-holodnyj-150-mlP1046300.150x150.jpg,10
21450,Redken,"Крем-краска, фиолетовый, 60 мл",Redken Blonde Idol High Lift V conditioning cream haircolor Violet,1130,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol-high-lift-v-conditioning-cream-haircolor-violet---krem-kraska-fioletovyj-60-mlP1045000.150x150.jpg,6
21451,Redken,"Крем-краска, титаниум, 60 мл",Redken Blonde Idol High Lift T conditioning cream haircolor Titanium,1130,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol-high-lift-t-conditioning-cream-haircolor-titanium---krem-kraska-titanium-60-mlP1045700.150x150.jpg,8
21452,Redken,"Крем-краска, перламутр, 60 мл",Redken Blonde Idol High Lift P conditioning cream haircolor Pearl,1130,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol-high-lift-p-conditioning-cream-haircolor-pearl---krem-kraska-perlamutr-60-mlP1044600.150x150.jpg,5
21453,Redken,"Крем-краска, пепельно-синий, 60 мл",Redken Blonde Idol High Lift BL conditioning cream haircolor Ash Blue,1130,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol-high-lift-bl-conditioning-cream-haircolor-ash-blue---krem-kraska-pepelno-sinij-60-mlP1044200.150x150.jpg,10
21454,Redken,"Крем-краска, натуральный-пепельный, 60 мл",Redken Blonde Idol High Lift NA conditioning cream haircolor Natural Ash,1130,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol-high-lift-na-conditioning-cream-haircolor-natural-ash---krem-kraska-naturalnyj-pepelnyj-60-mlP1043800.150x150.jpg,20
21455,Redken,"Крем-краска, натуральный, 60 мл",Redken Blonde Idol High Lift N conditioning cream haircolor Natural,1130,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol-high-lift-n-conditioning-cream-haircolor-natural---krem-kraska-naturalnyj-60-mlP1043200.150x150.jpg,17
